01	0,003930
02	0,102590
03	0,351850
04	0,710720
05	1,145480
06	1,635380
07	2,167350
08	2,732640
09	3,325110
10	3,940300
11	4,574810
12	5,226030
13	5,891860
14	6,570630
15	7,260940
16	7,961650
17	8,671760
18	9,390460
19	10,11701
20	10,85081
21	11,59131
22	12,33801
23	13,09051
24	13,84843
25	14,61141
26	15,37916
27	16,15140
28	16,92788
29	17,70837
30	18,49266
31	19,28057
32	20,07191
33	20,86653
34	21,66428
35	22,46502
36	23,26861
37	24,07494
38	24,88390
39	25,69539
40	26,50930
41	27,32555
42	28,14405
43	28,96472
44	29,78748
45	30,61226
46	31,43900
47	32,26762
48	33,09808
49	33,93031
50	34,76425
