01	2,7060000
02	4,6050000
03	6,2510000
04	7,7790000
05	9,2360000
06	10,645000
07	12,017000
08	13,362000
09	14,684000
10	15,987000
11	17,275000
12	18,549000
13	19,812000
14	21,064000
15	22,307000
16	23,542000
17	24,769000
18	25,989000
19	27,204000
20	28,412000
21	29,615000
22	30,813000
23	32,007000
24	33,196000
25	34,382000
26	35,563000
27	36,741000
28	37,916000
29	39,087000
30	40,256000
31	41,422000
32	42,585000
33	43.745000
34	44.903000
35	46.059000
36	47.212000
37	48.363000
38	49.513000
39	50.660000
40	51.805000
41	52.494000
42	54.090000
43	55.230000
44	56.369000
45	57.505000
46	58,641000
47	59,774000
48	60,907000
49	62,038000
50	63,167000
