01	0,000980
02	0,050640
03	0,215800
04	0,484420
05	0,831210
06	1,237340
07	1,689870
08	2,179730
09	2,700390
10	3,246970
11	3,815750
12	4,403790
13	5,008750
14	5,628730
15	6,262140
16	6,907660
17	7,564190
18	8,230750
19	8,906520
20	9,590780
21	10,28290
22	10,98232
23	11,68855
24	12,40115
25	13,11972
26	13,84391
27	14,57338
28	15,30786
29	16,04707
30	16,79077
31	17,53874
32	18,29076
33	19,04666
34	19,80625
35	20,56938
36	21,33588
37	22,10563
38	22,87848
39	23,65432
40	24,43304
41	25,21452
42	25,99866
43	26,78537
44	27,57457
45	28,36615
46	29,16005
47	29,95620
48	30,75451
49	31,55492
50	32,35736
