01	0,000160
02	0,020100
03	0,114830
04	0,297110
05	0,554300
06	0,872090
07	1,239040
08	1,646500
09	2,087900
10	2,558210
11	3,053480
12	3,570570
13	4,106920
14	4,660430
15	5,229350
16	5,812210
17	6,407760
18	7,014910
19	7,632730
20	8,260400
21	8,897200
22	9,542490
23	10,19572
24	10,85636
25	11,52398
26	12,19815
27	12,87850
28	13,56471
29	14,25645
30	14,95346
31	15,65546
32	16,36222
33	17,07351
34	17,78915
35	18,50893
36	19,23268
37	19,96023
38	20,69144
39	21,42616
40	22,16426
41	22,90561
42	23,65009
43	24,39760
44	25,14803
45	25,90127
46	26,65724
47	27,41585
48	28,17701
49	28,94065
50	29,70668
